timestamp,symbol,regime,strategy,current_qty
2025-03-30,BTC-USDT,TREND_UP,TrendUp,0.0
2025-03-30,ETH-USDT,VOLATILE,TrendBreakout,0.0
2025-03-31,BTC-USDT,TREND_UP,TrendUp,0.0
2025-03-31,ETH-USDT,VOLATILE,TrendBreakout,0.0
2025-04-01,BTC-USDT,TREND_UP,TrendUp,0.0
2025-04-01,ETH-USDT,VOLATILE,TrendBreakout,0.0
2025-04-02,BTC-USDT,TREND_UP,TrendUp,0.0
2025-04-02,ETH-USDT,VOLATILE,TrendBreakout,0.0
2025-04-03,BTC-USDT,TREND_UP,TrendUp,0.0
2025-04-03,ETH-USDT,VOLATILE,TrendBreakout,0.0
2025-04-04,BTC-USDT,TREND_UP,TrendUp,0.0
2025-04-04,ETH-USDT,VOLATILE,TrendBreakout,0.0
2025-04-05,BTC-USDT,TREND_UP,TrendUp,0.0
2025-04-05,ETH-USDT,VOLATILE,TrendBreakout,0.0
2025-04-06,BTC-USDT,TREND_UP,TrendUp,0.0
2025-04-06,ETH-USDT,VOLATILE,TrendBreakout,0.0
2025-04-07,BTC-USDT,TREND_UP,TrendUp,0.0
2025-04-07,ETH-USDT,VOLATILE,TrendBreakout,0.0
2025-04-08,BTC-USDT,TREND_UP,TrendUp,0.0
2025-04-08,ETH-USDT,VOLATILE,TrendBreakout,0.0
2025-04-09,BTC-USDT,VOLATILE,SWITCH_COOLDOWN,0.0
2025-04-09,ETH-USDT,VOLATILE,TrendBreakout,0.0
2025-04-10,BTC-USDT,VOLATILE,COOLDOWN,0.0
2025-04-10,ETH-USDT,VOLATILE,TrendBreakout,0.0
2025-04-11,BTC-USDT,VOLATILE,COOLDOWN,0.0
2025-04-11,ETH-USDT,VOLATILE,TrendBreakout,0.0
2025-04-12,BTC-USDT,VOLATILE,COOLDOWN,0.0
2025-04-12,ETH-USDT,VOLATILE,TrendBreakout,0.0
2025-04-13,BTC-USDT,VOLATILE,TrendBreakout,0.0
2025-04-13,ETH-USDT,VOLATILE,TrendBreakout,0.0
2025-04-14,BTC-USDT,VOLATILE,TrendBreakout,0.0
2025-04-14,ETH-USDT,VOLATILE,TrendBreakout,0.0
2025-04-15,BTC-USDT,VOLATILE,TrendBreakout,0.013261751916719466
2025-04-15,ETH-USDT,VOLATILE,TrendBreakout,0.0
2025-04-16,BTC-USDT,VOLATILE,TrendBreakout,0.013261751916719466
2025-04-16,ETH-USDT,VOLATILE,TrendBreakout,0.0
2025-04-17,BTC-USDT,VOLATILE,TrendBreakout,0.013261751916719466
2025-04-17,ETH-USDT,VOLATILE,TrendBreakout,0.05760333299302077
2025-04-18,BTC-USDT,VOLATILE,TrendBreakout,0.013261751916719466
2025-04-18,ETH-USDT,VOLATILE,TrendBreakout,0.05760333299302077
2025-04-19,BTC-USDT,VOLATILE,TrendBreakout,0.013261751916719466
2025-04-19,ETH-USDT,VOLATILE,TrendBreakout,0.05760333299302077
2025-04-20,BTC-USDT,VOLATILE,TrendBreakout,0.013261751916719466
2025-04-20,ETH-USDT,VOLATILE,TrendBreakout,0.05760333299302077
2025-04-21,BTC-USDT,VOLATILE,TrendBreakout,0.013261751916719466
2025-04-21,ETH-USDT,VOLATILE,TrendBreakout,0.05760333299302077
2025-04-22,BTC-USDT,VOLATILE,TrendBreakout,0.013261751916719466
2025-04-22,ETH-USDT,VOLATILE,TrendBreakout,0.05760333299302077
2025-04-23,BTC-USDT,VOLATILE,TrendBreakout,0.013261751916719466
2025-04-23,ETH-USDT,VOLATILE,TrendBreakout,0.05760333299302077
