timestamp,symbol,regime,strategy,current_qty
2020-10-20,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-10-20,BNB-USDT,TREND_UP,TrendUp,0.0
2020-10-21,BTC-USDT,TREND_UP,TrendUp,0.0
2020-10-21,ETH-USDT,SIDEWAYS,COOLDOWN,0.0
2020-10-21,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-10-21,BNB-USDT,TREND_UP,TrendUp,0.0
2020-10-22,BTC-USDT,TREND_UP,TrendUp,0.0
2020-10-22,ETH-USDT,SIDEWAYS,COOLDOWN,0.0
2020-10-22,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-10-22,BNB-USDT,TREND_UP,TrendUp,0.0
2020-10-23,BTC-USDT,TREND_UP,TrendUp,0.0
2020-10-23,ETH-USDT,TREND_UP,SWITCH_COOLDOWN,0.0
2020-10-23,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-10-23,BNB-USDT,TREND_UP,TrendUp,0.0
2020-10-24,BTC-USDT,TREND_UP,TrendUp,0.0
2020-10-24,ETH-USDT,TREND_UP,COOLDOWN,0.0
2020-10-24,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-10-24,BNB-USDT,TREND_UP,TrendUp,0.0
2020-10-25,BTC-USDT,TREND_UP,TrendUp,0.0
2020-10-25,ETH-USDT,TREND_UP,COOLDOWN,0.0
2020-10-25,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-10-25,BNB-USDT,TREND_UP,TrendUp,0.0
2020-10-26,BTC-USDT,TREND_UP,TrendUp,0.0
2020-10-26,ETH-USDT,TREND_UP,COOLDOWN,0.0
2020-10-26,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-10-26,BNB-USDT,TREND_UP,TrendUp,0.0
2020-10-27,BTC-USDT,TREND_UP,TrendUp,0.0
2020-10-27,ETH-USDT,TREND_UP,TrendUp,0.0
2020-10-27,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-10-27,BNB-USDT,TREND_UP,TrendUp,0.0
2020-10-28,BTC-USDT,TREND_UP,TrendUp,0.0
2020-10-28,ETH-USDT,TREND_UP,TrendUp,0.0
2020-10-28,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-10-28,BNB-USDT,TREND_UP,TrendUp,0.0
2020-10-29,BTC-USDT,TREND_UP,TrendUp,0.0
2020-10-29,ETH-USDT,TREND_UP,TrendUp,0.0
2020-10-29,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-10-29,BNB-USDT,TREND_UP,TrendUp,0.0
2020-10-30,BTC-USDT,TREND_UP,TrendUp,0.0
2020-10-30,ETH-USDT,TREND_UP,TrendUp,0.0
2020-10-30,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-10-30,BNB-USDT,TREND_UP,TrendUp,0.0
2020-10-31,BTC-USDT,TREND_UP,TrendUp,0.0
2020-10-31,ETH-USDT,TREND_UP,TrendUp,0.0
2020-10-31,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-10-31,BNB-USDT,TREND_UP,TrendUp,0.0
2020-11-01,BTC-USDT,TREND_UP,TrendUp,0.0
2020-11-01,ETH-USDT,TREND_UP,TrendUp,0.0
2020-11-01,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-11-01,BNB-USDT,TREND_UP,TrendUp,32.879861081943034
2020-11-02,BTC-USDT,TREND_UP,TrendUp,0.0
2020-11-02,ETH-USDT,TREND_UP,TrendUp,0.0
2020-11-02,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-11-02,BNB-USDT,TREND_UP,TrendUp,0.0
2020-11-03,BTC-USDT,TREND_UP,TrendUp,0.0
2020-11-03,ETH-USDT,TREND_UP,TrendUp,0.0
2020-11-03,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-11-03,BNB-USDT,TREND_UP,TrendUp,0.0
2020-11-04,BTC-USDT,TREND_UP,TrendUp,0.0
2020-11-04,ETH-USDT,TREND_UP,TrendUp,0.0
2020-11-04,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-11-04,BNB-USDT,TREND_DOWN,SWITCH_COOLDOWN,0.0
2020-11-05,BTC-USDT,TREND_UP,TrendUp,0.0
2020-11-05,ETH-USDT,TREND_UP,TrendUp,0.0
2020-11-05,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-11-05,BNB-USDT,TREND_DOWN,COOLDOWN,0.0
2020-11-06,BTC-USDT,TREND_UP,TrendUp,0.0
2020-11-06,ETH-USDT,TREND_UP,TrendUp,0.0
2020-11-06,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-11-06,BNB-USDT,TREND_DOWN,COOLDOWN,0.0
2020-11-07,BTC-USDT,TREND_UP,TrendUp,0.0
2020-11-07,ETH-USDT,TREND_UP,TrendUp,0.0
2020-11-07,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-11-07,BNB-USDT,SIDEWAYS,SWITCH_COOLDOWN,0.0
2020-11-08,BTC-USDT,TREND_UP,TrendUp,0.0
2020-11-08,ETH-USDT,TREND_UP,TrendUp,0.0
2020-11-08,SOL-USDT,TREND_DOWN,TrendDown,0.0
2020-11-08,BNB-USDT,SIDEWAYS,COOLDOWN,0.0
2020-11-09,BTC-USDT,TREND_UP,TrendUp,0.0
2020-11-09,ETH-USDT,TREND_UP,TrendUp,0.0
2020-11-09,SOL-USDT,SIDEWAYS,SWITCH_COOLDOWN,0.0
2020-11-09,BNB-USDT,SIDEWAYS,COOLDOWN,0.0
2020-11-10,BTC-USDT,TREND_UP,TrendUp,0.0
2020-11-10,ETH-USDT,TREND_UP,TrendUp,0.0
2020-11-10,SOL-USDT,SIDEWAYS,COOLDOWN,0.0
2020-11-10,BNB-USDT,SIDEWAYS,COOLDOWN,0.0
2020-11-11,BTC-USDT,TREND_UP,TrendUp,0.0
2020-11-11,ETH-USDT,TREND_UP,TrendUp,0.0
2020-11-11,SOL-USDT,SIDEWAYS,COOLDOWN,0.0
2020-11-11,BNB-USDT,TREND_DOWN,SWITCH_COOLDOWN,0.0
2020-11-12,BTC-USDT,TREND_UP,TrendUp,0.0
2020-11-12,ETH-USDT,TREND_UP,TrendUp,0.0
2020-11-12,SOL-USDT,SIDEWAYS,COOLDOWN,0.0
2020-11-12,BNB-USDT,TREND_DOWN,COOLDOWN,0.0
