signal_time,fill_time,symbol,side,qty,fill_price,commission,slip,slip_dir,strategy_id,exit_reason
2023-11-22,2023-11-23,BNB-USDT,sell,38.624542029502976,236.0819,9.11855526895492,0.1181,negative,TrendUp,Close below SMA30
2023-12-19,2023-12-20,ETH-USDT,buy,5.5252452907152145,2178.98895,12.039448434507989,1.08895,positive,TrendUp,signal
2023-12-29,2023-12-30,BTC-USDT,buy,0.34384750260685676,42087.97347,14.471844567443142,21.03347,positive,TrendUp,signal
2023-12-30,2023-12-31,BTC-USDT,sell,0.34384750260685676,42119.219855,14.482588558890885,21.070145,negative,TrendUp,Close below SMA30
2024-01-03,2024-01-04,ETH-USDT,sell,5.5252452907152145,2208.61514,12.203140401287325,1.10486,negative,TrendUp,Close below SMA30
2024-01-05,2024-01-06,ETH-USDT,buy,4.944443128418719,2269.91439,11.223462607734268,1.1343900000000002,positive,TrendUp,signal
2024-01-06,2024-01-07,ETH-USDT,sell,4.944443128418719,2239.6496150000003,11.07382014895238,1.120385,negative,TrendUp,Close below SMA30
2024-01-07,2024-01-08,SOL-USDT,buy,49.21969045207871,89.48472,4.404410218590937,0.04472,positive,TrendUp,signal
2024-01-12,2024-01-13,SOL-USDT,sell,49.21969045207871,92.09393,4.5328347271154055,0.04607,negative,TrendUp,Close below SMA30
2024-01-13,2024-01-14,SOL-USDT,buy,47.749868947040696,95.89792499999999,4.579113351043137,0.047924999999999995,positive,TrendUp,signal
2024-01-14,2024-01-15,SOL-USDT,sell,47.749868947040696,93.763095,4.4771754983189265,0.046905,negative,Router,StateSwitch
2024-01-22,2024-01-23,ETH-USDT,buy,4.630083353283919,2315.347095,10.720250041633783,1.157095,positive,TrendUp,signal
2024-01-22,2024-01-23,BNB-USDT,buy,38.40120006961468,306.05294999999995,11.752800564845776,0.15295,positive,TrendUp,signal
2024-01-23,2024-01-24,ETH-USDT,sell,4.630083353283919,2241.4787,10.37823321561048,1.1213,negative,TrendUp,Close below SMA30
